rg_id,rg_title,imdb_id,primary_type
e02530fb-93ff-395f-85e0-0fa0d1f4e919,Repo Man: Music From the Original Motion Picture Soundtrack,tt0087995,Album
6a207f44-2340-3265-99f5-a7f5b4d704e6,Home of the Brave,tt0091216,Album
1f89240e-f941-3f71-a53c-8c2b346521e2,Space Jam: Music From and Inspired by the Motion Picture,tt0117705,Album
977f9f9b-6116-38cd-9e65-4cc57cf2ba10,Little Nicky,tt0185431,Album
8a63d9fd-c9c3-3813-a2b7-7f3898fa1069,Ghostbusters II,tt0097428,Album
984c7bd4-d94f-35f9-8bd6-3aab1a70d896,Spawn: The Album,tt0120177,Album
ebb65bbe-df52-31ce-9b1a-789f2735bff0,Gone in 60 Seconds,tt0187078,Album
c033d28b-fe43-3744-a5f8-50b30a100dcb,American Pie: Music From the Motion Picture,tt0163651,Album
7fb0fa0c-0e5f-3ac6-a7f3-c844bf6399ae,Star Trek II: The Wrath of Khan,tt0084726,Album
9fe45eec-1bc2-37bd-ae5a-7c44c5c74ea8,Rain Man,tt0095953,Album
06edbd21-fc1a-3e83-8e84-cb77dfe91c2f,The Piano,tt0107822,Album
f8155e9b-43f2-396a-9434-0df3ad5af6b8,Unbreakable (Original Motion Picture Score),tt0217869,Album
702787c6-22c3-391a-8c2e-e2a812b73f96,The Beach: Motion Picture Soundtrack,tt0163978,Album
3bcbb670-3d84-31a1-9838-42633504b075,The Rocky Horror Picture Show,tt0073629,Album
574efe56-65e7-3764-ad80-791721e2f086,Better Than Chocolate,tt0168987,Album
5ac77494-cc56-366d-bd77-ab04d5e2d5fc,Trick,tt0162710,Album
5088cc2d-ceb6-387b-a535-272dd9407b51,Dream With the Fishes,tt0119019,Album
5b5e60a1-222c-3d23-bd0c-d03359dd7591,Buffalo 66,tt0118789,Album
989237f8-e21c-368b-b14d-d95784c00861,Arlington Road,tt0137363,Album
6e662a2d-0bf1-37ec-9168-88e1fe010de3,Grosse Pointe Blank: More Music From the Film,tt0119229,Album
2909cce6-f0ae-38b2-9ba2-bfd511893987,The Whole Nine Yards,tt0190138,Album
8525edf9-61aa-3500-8627-34ca597fed29,Instrument Soundtrack,tt0230334,Album
6edd9551-af5f-31e5-97bb-a18c0365369b,Any Given Sunday: Music From the Motion Picture,tt0146838,Album
